Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
05/10/2026 12:00,LONGIL,61762,40.66,2.52,-16.42
05/10/2026 12:00,MHK VL,61756,24.08,0.33,-2.02
05/10/2026 12:00,MILLWD,61759,32.09,1.87,-8.50
05/10/2026 12:00,N.Y.C.,61761,32.41,2.22,-8.47
05/10/2026 12:00,NORTH,61755,21.44,-0.28,0.00
05/10/2026 12:00,NPX,61845,32.12,1.22,-9.18
05/10/2026 12:00,O H,61846,20.09,-2.22,-0.58
05/10/2026 12:00,PJM,61847,26.56,0.09,-4.75
05/10/2026 12:00,WEST,61752,20.11,-2.19,-0.57
05/10/2026 13:00,CAPITL,61757,30.54,0.58,-9.18
05/10/2026 13:00,CENTRL,61754,21.36,-0.44,-1.02
05/10/2026 13:00,DUNWOD,61760,30.75,2.04,-7.94
05/10/2026 13:00,GENESE,61753,19.89,-1.45,-0.57
05/10/2026 13:00,H Q,61844,20.69,-0.08,0.00
05/10/2026 13:00,HUD VL,61758,30.25,1.58,-7.90
05/10/2026 13:00,LONGIL,61762,32.25,2.41,-9.06
05/10/2026 13:00,MHK VL,61756,23.07,0.35,-1.94
05/10/2026 13:00,MILLWD,61759,30.58,1.81,-7.99
05/10/2026 13:00,N.Y.C.,61761,30.86,2.14,-7.94
05/10/2026 13:00,NORTH,61755,20.49,-0.29,0.00
05/10/2026 13:00,NPX,61845,30.60,1.18,-8.64
05/10/2026 13:00,O H,61846,19.26,-2.06,-0.54
05/10/2026 13:00,PJM,61847,25.45,0.19,-4.49
05/10/2026 13:00,WEST,61752,19.30,-2.02,-0.54
05/10/2026 14:00,CAPITL,61757,31.17,0.60,-10.05
05/10/2026 14:00,CENTRL,61754,21.21,-0.43,-1.12
05/10/2026 14:00,DUNWOD,61760,31.16,1.95,-8.69
05/10/2026 14:00,GENESE,61753,19.70,-1.44,-0.62
05/10/2026 14:00,H Q,61844,20.44,-0.08,0.00
